price,utc_departure,local_departure,utc_arrival,local_arrival,distance,flyTo,flyFrom,quality,airline_iata,id,City,Airport,Refs,Country,State/Province,icao,iata,name,city,subd,country,elevation,lat,lon,tz
118,2022-06-17 21:42:00+00:00,2022-06-17 16:42:00+00:00,2022-06-18 00:30:00+00:00,2022-06-17 19:30:00+00:00,1485.92,AUS,CUN,146.583743,NK,1cfb16924ad800005befdc56_0,Cancun,Cancun International Airport,,MX,Quintana Roo,MMUN,CUN,Cancun International Airport,Cancun,Quintana Roo,MX,22.0,21.0365009308,-86.8770980835,America/Cancun
157,2022-06-17 17:05:00+00:00,2022-06-17 13:05:00+00:00,2022-06-17 19:28:00+00:00,2022-06-17 15:28:00+00:00,1270.37,BWI,MCO,180.328125,NK,08d70a0b4ad800007f1e2e5f_0,Orlando,Orlando International Airport,Base,US,Florida,KMCO,MCO,Orlando International Airport,Orlando,Florida,US,96.0,28.4293994904,-81.3089981079,America/New_York
157,2022-06-18 02:25:00+00:00,2022-06-17 22:25:00+00:00,2022-06-18 04:51:00+00:00,2022-06-18 00:51:00+00:00,1270.37,BWI,MCO,180.728124,NK,08d70a0b4ad800004eeec425_0,Orlando,Orlando International Airport,Base,US,Florida,KMCO,MCO,Orlando International Airport,Orlando,Florida,US,96.0,28.4293994904,-81.3089981079,America/New_York
157,2022-06-17 20:15:00+00:00,2022-06-17 16:15:00+00:00,2022-06-17 22:55:00+00:00,2022-06-17 18:55:00+00:00,1494.35,BWI,FLL,182.594786,NK,04cd0a0b4ad80000957625af_0,Fort Lauderdale,Fort Lauderdale Hollywood International Airport,Base,US,Florida,KFLL,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,Florida,US,9.0,26.072599411,-80.1527023315,America/New_York
164,2022-06-17 18:23:00+00:00,2022-06-17 14:23:00+00:00,2022-06-17 20:28:00+00:00,2022-06-17 16:28:00+00:00,1189.3,BOS,MYR,184.583104,NK,1a4e04884ad800003a3c21c8_0,Myrtle Beach,Myrtle Beach International Airport,,US,South Carolina,KMYR,MYR,Myrtle Beach International Airport,Myrtle Beach,South Carolina,US,25.0,33.6796989441,-78.9282989502,America/New_York
164,2022-06-17 21:40:00+00:00,2022-06-17 17:40:00+00:00,2022-06-17 23:46:00+00:00,2022-06-17 19:46:00+00:00,1189.3,BOS,MYR,184.716437,NK,1a4e04884ad800000babb822_0,Myrtle Beach,Myrtle Beach International Airport,,US,South Carolina,KMYR,MYR,Myrtle Beach International Airport,Myrtle Beach,South Carolina,US,25.0,33.6796989441,-78.9282989502,America/New_York
166,2022-06-18 01:10:00+00:00,2022-06-17 21:10:00+00:00,2022-06-18 03:52:00+00:00,2022-06-17 23:52:00+00:00,1494.35,BWI,FLL,191.417845,NK,04cd0a0b4ad800000ef113c6_0,Fort Lauderdale,Fort Lauderdale Hollywood International Airport,Base,US,Florida,KFLL,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,Florida,US,9.0,26.072599411,-80.1527023315,America/New_York
168,2022-06-17 18:25:00+00:00,2022-06-17 14:25:00+00:00,2022-06-17 21:27:00+00:00,2022-06-17 16:27:00+00:00,1777.63,AUS,FLL,195.985926,NK,04cd16924ad80000cd0bbef1_0,Fort Lauderdale,Fort Lauderdale Hollywood International Airport,Base,US,Florida,KFLL,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,Florida,US,9.0,26.072599411,-80.1527023315,America/New_York
184,2022-06-17 17:50:00+00:00,2022-06-17 12:50:00+00:00,2022-06-17 20:20:00+00:00,2022-06-17 15:20:00+00:00,1308.61,IAH,CUN,206.930637,NK,1cfb230e4ad8000008b64940_0,Cancun,Cancun International Airport,,MX,Quintana Roo,MMUN,CUN,Cancun International Airport,Cancun,Quintana Roo,MX,22.0,21.0365009308,-86.8770980835,America/Cancun
187,2022-06-17 23:05:00+00:00,2022-06-17 19:05:00+00:00,2022-06-18 03:30:00+00:00,2022-06-17 22:30:00+00:00,3142.62,GYE,FLL,225.116063,NK,04cd174c4ad8000020b4ba46_0,Fort Lauderdale,Fort Lauderdale Hollywood International Airport,Base,US,Florida,KFLL,FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,Florida,US,9.0,26.072599411,-80.1527023315,America/New_York
194,2022-06-17 19:35:00+00:00,2022-06-17 15:35:00+00:00,2022-06-17 22:17:00+00:00,2022-06-17 18:17:00+00:00,1527.59,BWI,MIA,218.037737,NK,0f6b0a0b4ad80000542cf991_0,Miami,Miami International Airport,Base[3],US,Florida,KMIA,MIA,Miami International Airport,Miami,Florida,US,8.0,25.7931995392,-80.2906036377,America/New_York
217,2022-06-18 00:40:00+00:00,2022-06-17 20:40:00+00:00,2022-06-18 03:32:00+00:00,2022-06-17 22:32:00+00:00,1598.78,AUS,MCO,241.237407,NK,08d716924ad80000ccdc91f6_0,Orlando,Orlando International Airport,Base,US,Florida,KMCO,MCO,Orlando International Airport,Orlando,Florida,US,96.0,28.4293994904,-81.3089981079,America/New_York
281,2022-06-18 00:20:00+00:00,2022-06-17 17:20:00+00:00,2022-06-18 03:50:00+00:00,2022-06-17 22:50:00+00:00,2217.51,IAH,LAX,307.149528,NK,243e230e4ad800000a0e9069_0,Los Angeles,Los Angeles International Airport,,US,California,KLAX,LAX,Los Angeles International Airport,Los Angeles,California,US,125.0,33.94250107,-118.4079971,America/Los_Angeles
289,2022-06-17 20:38:00+00:00,2022-06-17 16:38:00+00:00,2022-06-17 22:28:00+00:00,2022-06-17 17:28:00+00:00,849.17,MSP,DTW,301.421911,NK,244d13b74ad800002e1b06ee_0,Detroit,Detroit Metropolitan Wayne County Airport,Base,US,Michigan,KDTW,DTW,Detroit Metropolitan Wayne County Airport,Detroit,Michigan,US,645.0,42.2123985291,-83.3534011841,America/New_York
303,2022-06-17 21:08:00+00:00,2022-06-17 15:08:00+00:00,2022-06-18 00:03:00+00:00,2022-06-17 19:03:00+00:00,1786.6,IAH,SAP,323.398502,NK,1db7230e4ad80000543eb154_0,San Pedro Sula,Ramon Villeda Morales International Airport,,HN,,MHLM,SAP,Ramon Villeda Morales International Airport,La Mesa,Cortes,HN,91.0,15.4525995255,-87.9235992432,America/Tegucigalpa
305,2022-06-18 01:59:00+00:00,2022-06-17 21:59:00+00:00,2022-06-18 04:58:00+00:00,2022-06-17 23:58:00+00:00,1551.11,IAH,MIA,325.833255,NK,0f6b230e4ad80000c801d509_0,Miami,Miami International Airport,Base[3],US,Florida,KMIA,MIA,Miami International Airport,Miami,Florida,US,8.0,25.7931995392,-80.2906036377,America/New_York
306,2022-06-17 22:20:00+00:00,2022-06-17 18:20:00+00:00,2022-06-18 00:42:00+00:00,2022-06-17 20:42:00+00:00,1359.38,BWI,TPA,321.850644,NK,1ff50a0b4ad80000936a0f21_0,Tampa,Tampa International Airport,,US,Florida,KTPA,TPA,Tampa International Airport,Tampa,Florida,US,26.0,27.9755001068,-82.533203125,America/New_York
319,2022-06-17 17:26:00+00:00,2022-06-17 10:26:00+00:00,2022-06-17 20:35:00+00:00,2022-06-17 15:35:00+00:00,2090.09,MSP,LAS,340.47653,NK,244613b74ad8000072e8d981_0,Las Vegas,Harry Reid International Airport,Base,US,Nevada,KLAS,LAS,Harry Reid International Airport,Las Vegas,Nevada,US,2181.0,36.08010101,-115.1520004,America/Los_Angeles
